Restaurant Name,Most Popular Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
Domino's Pizza,Pizza,4.5,400,Sitabuldi,Eternity Mall,"Eternity Mall, Nagpurshop No.4, Ground Floor, Eternity Mall, Sitabuldi",FALSE,0
Nosh Relation of Sandwich,Fast Food,3.4,400,Dharampeth,dharampeth,"Near Traffic Park, Dharampeth, Nagpur",TRUE,0
STREET CHOWPATI,Fast Food,2.1,200,Nandanvan,Nandanvan,"PLOT NO. 4, HANUMAN NAGAR, MEDICAL ROAD, NAGPUR, ZONE NO 5 HANUMANNAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA 440009",FALSE,0
STREET FOOD BY SINGHS GRILLS,Fast Food,2.2,250,Nandanvan,Nandanvan,"PLOT NO. 4, HANUMAN NAGAR, MEDICAL ROAD, NAGPUR,ZONE NO 5 HANUMANNAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA - 440009",FALSE,0
Shreenath Pav Bhaji And Pulao Center,Fast Food,4,100,Dharampeth,Traffic park,"Plot No.7, Bhgwaghar Layout, Behind Children's Traffic Park, Dharampeth, Nagpur",TRUE,0
NEW SINGHS  BARBECUE AND CURRY,Multi-cuisine,2.7,500,Nandanvan,Nandanvan,PLOT NO 4 HANUMAN NAGAR  MEDICAL ROAD NAGPUR ZONE NO 5 HANUMANNAGARNAGPUR URBAN NAGPUR 1 MAHARASHTRA-440009,FALSE,0
Ravi's Food,Multi-cuisine,4.1,450,Sadar,Sadar,"VCA Ground, Shop No.28, Sadar, Nagpur",FALSE,0
Faasos - Wraps & Rolls,Fast Food,4,200,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",FALSE,0
Oven Story Pizza,Pizza,3.6,400,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",FALSE,0
Amir Punjabi Restaurant by Khana Khazana,Multi-cuisine,3.9,300,CA Road,Gandhibagh,"1192, JAGNATH ROAD, CENTRAL AVENUE, BHAWSAR SQUARE, NAGPUR,  Nagpur1, Maharashtra-440002",TRUE,0
